"id"	"station_name"	"line_id"	"sequence"	"longitude"	"latitude"	"is_transfer"	"transfer_count"	"status"	"created_at"	"updated_at"
"1"	"大学城南"	"900000226818"	"1"	"113.400478"	"23.043408"	"1"	"2"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"2"	"大学城北"	"900000226818"	"2"	"113.385795"	"23.057937"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"3"	"官洲"	"900000226818"	"3"	"113.37696"	"23.067763"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"4"	"北山"	"900000226818"	"4"	"113.37529"	"23.085225"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"5"	"赤沙"	"900000226818"	"5"	"113.363512"	"23.084747"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"6"	"赤沙北"	"900000226818"	"6"	"113.346854"	"23.090174"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"7"	"赤岗"	"900000226818"	"7"	"113.335392"	"23.097163"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"8"	"赤岗塔"	"900000226818"	"8"	"113.324659"	"23.102133"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"9"	"二沙岛"	"900000226818"	"9"	"113.303966"	"23.109858"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"10"	"东湖"	"900000226818"	"10"	"113.289207"	"23.115409"	"1"	"2"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"11"	"烈士陵园"	"900000226818"	"11"	"113.286637"	"23.12532"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"12"	"建设六马路"	"900000226818"	"12"	"113.285226"	"23.1343"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"13"	"麓湖"	"900000226818"	"13"	"113.281204"	"23.143954"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"14"	"中医药大学"	"900000226818"	"14"	"113.268956"	"23.157264"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"15"	"柯子岭"	"900000226818"	"15"	"113.272087"	"23.162986"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"16"	"景泰"	"900000226818"	"16"	"113.275888"	"23.174342"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"17"	"广州体育馆"	"900000226818"	"17"	"113.278269"	"23.180875"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"18"	"白云文化广场"	"900000226818"	"18"	"113.276303"	"23.193095"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"19"	"新市墟"	"900000226818"	"19"	"113.26528"	"23.194402"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"20"	"棠涌"	"900000226818"	"20"	"113.254272"	"23.195981"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"21"	"广州白云站"	"900000226818"	"21"	"113.248226"	"23.19192"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"22"	"聚龙"	"900000226818"	"22"	"113.238723"	"23.181111"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"23"	"西洲"	"900000226818"	"23"	"113.224106"	"23.184613"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"24"	"浔峰岗北"	"900000226818"	"24"	"113.207073"	"23.172766"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"25"	"浔峰岗"	"900000226818"	"25"	"113.201998"	"23.166275"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"26"	"广州塔"	"440100023025"	"1"	"113.32372"	"23.10648"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"27"	"海心沙"	"440100023025"	"2"	"113.324063"	"23.111378"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"28"	"大剧院"	"440100023025"	"3"	"113.324428"	"23.115804"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"29"	"花城大道"	"440100023025"	"4"	"113.324521"	"23.119227"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"30"	"妇儿中心"	"440100023025"	"5"	"113.324558"	"23.122553"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"31"	"黄埔大道"	"440100023025"	"6"	"113.32449"	"23.127054"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"32"	"天河南"	"440100023025"	"7"	"113.324479"	"23.131576"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"33"	"体育中心南"	"440100023025"	"8"	"113.323876"	"23.134275"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"34"	"林和西"	"440100023025"	"9"	"113.323394"	"23.140383"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"35"	"西塱"	"900000094221"	"1"	"113.232234"	"23.065525"	"1"	"3"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"36"	"花围"	"900000094221"	"2"	"113.245092"	"23.057549"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"37"	"东沙"	"900000094221"	"3"	"113.264127"	"23.057041"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"38"	"大干围"	"900000094221"	"4"	"113.283538"	"23.060525"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"39"	"工业大道南"	"900000094221"	"5"	"113.288847"	"23.067856"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"40"	"东晓南"	"900000094221"	"6"	"113.293313"	"23.071147"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"41"	"五凤"	"900000094221"	"7"	"113.295668"	"23.082863"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"42"	"中大南门"	"900000094221"	"8"	"113.296317"	"23.088952"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"43"	"滨江东路"	"900000094221"	"9"	"113.291848"	"23.104084"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"44"	"东湖"	"900000094221"	"10"	"113.289406"	"23.115943"	"1"	"2"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"45"	"五羊邨"	"900000094221"	"11"	"113.311641"	"23.119762"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"46"	"杨箕东"	"900000094221"	"12"	"113.315841"	"23.124419"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"47"	"赤沙"	"900000074492"	"1"	"113.363512"	"23.084747"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"48"	"龙潭"	"900000074492"	"2"	"113.340902"	"23.079237"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"49"	"大塘"	"900000074492"	"3"	"113.322562"	"23.078"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"50"	"上涌"	"900000074492"	"4"	"113.312873"	"23.079844"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"51"	"逸景路"	"900000074492"	"5"	"113.305099"	"23.081993"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"52"	"五凤"	"900000074492"	"6"	"113.29607"	"23.082006"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"53"	"江泰路"	"900000074492"	"7"	"113.279064"	"23.081854"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"54"	"燕岗"	"900000074492"	"8"	"113.271683"	"23.076574"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"55"	"棣园"	"900000074492"	"9"	"113.264268"	"23.072908"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"56"	"鹤洞东"	"900000074492"	"10"	"113.251183"	"23.071265"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"57"	"沙涌"	"900000074492"	"11"	"113.247752"	"23.08266"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"58"	"大冲口"	"900000074492"	"12"	"113.244551"	"23.089003"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"59"	"芳村"	"900000074492"	"13"	"113.236726"	"23.098251"	"1"	"3"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"60"	"石围塘"	"900000074492"	"14"	"113.224847"	"23.10377"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"61"	"如意坊"	"900000074492"	"15"	"113.23111"	"23.115164"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"62"	"中山八"	"900000074492"	"16"	"113.233357"	"23.126307"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"63"	"彩虹桥"	"900000074492"	"17"	"113.246524"	"23.134902"	"1"	"3"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"64"	"流花"	"900000074492"	"18"	"113.257195"	"23.139884"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"65"	"广州火车站"	"900000074492"	"19"	"113.257792"	"23.147578"	"1"	"3"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"66"	"梓元岗"	"900000074492"	"20"	"113.263079"	"23.153457"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"67"	"中医药大学"	"900000074492"	"21"	"113.269036"	"23.157256"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"68"	"大金钟路"	"900000074492"	"22"	"113.27691"	"23.161734"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"69"	"云台花园"	"900000074492"	"23"	"113.29255"	"23.153902"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"70"	"沙河"	"900000074492"	"24"	"113.313205"	"23.151898"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"71"	"广州东站"	"900000074492"	"25"	"113.325292"	"23.152343"	"1"	"3"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"72"	"龙口西"	"900000074492"	"26"	"113.337669"	"23.141471"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"73"	"华师"	"900000074492"	"27"	"113.343936"	"23.140597"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"74"	"华景路"	"900000074492"	"28"	"113.3601"	"23.134269"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"75"	"天河公园"	"900000074492"	"29"	"113.362879"	"23.125317"	"1"	"2"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"76"	"员村"	"900000074492"	"30"	"113.363677"	"23.114362"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"77"	"琶洲"	"900000074492"	"31"	"113.368164"	"23.100381"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"78"	"赤沙"	"900000074492"	"32"	"113.363512"	"23.084747"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"79"	"天河公园"	"900000071578"	"1"	"113.364025"	"23.124903"	"1"	"2"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"80"	"棠下"	"900000071578"	"2"	"113.381651"	"23.125605"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"81"	"车陂"	"900000071578"	"3"	"113.396489"	"23.124704"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"82"	"天河珠村"	"900000071578"	"4"	"113.420673"	"23.116653"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"83"	"鱼珠"	"900000071578"	"5"	"113.432281"	"23.100343"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"84"	"裕丰围"	"900000071578"	"6"	"113.455795"	"23.094844"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"85"	"双岗"	"900000071578"	"7"	"113.474331"	"23.094468"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"86"	"南海神庙"	"900000071578"	"8"	"113.497304"	"23.083128"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"87"	"夏园"	"900000071578"	"9"	"113.518376"	"23.082901"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"88"	"南岗"	"900000071578"	"10"	"113.541486"	"23.09528"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"89"	"沙村"	"900000071578"	"11"	"113.570399"	"23.11059"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"90"	"白江"	"900000071578"	"12"	"113.595627"	"23.123235"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"91"	"新塘"	"900000071578"	"13"	"113.604472"	"23.131731"	"1"	"1"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"92"	"官湖"	"900000071578"	"14"	"113.636569"	"23.137226"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"93"	"新沙"	"900000071578"	"15"	"113.649417"	"23.136863"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
"94"	"东风"	"900000074702"	"1"	"113.600801"	"23.566233"	"0"	"0"	"1"	"5/5/2026 11:06:28"	"5/5/2026 11:06:28"
